Item,Qtd,Data,Obra
Tubo de ferro 6m 8 polegadas,1.0,24/04/2026 17:53,D_002_2026
Toco 0.50m,1.0,24/04/2026 17:53,D_002_2026
Joelho 90 graus,1.0,24/04/2026 17:53,D_002_2026
Tee 6x4 flangeado,1.0,24/04/2026 17:53,D_002_2026
Ponteira flange escama 4,1.0,24/04/2026 17:53,D_002_2026
Cap 6,1.0,24/04/2026 17:53,D_002_2026
Valvula gaveta 4,1.0,24/04/2026 17:53,D_002_2026
Valvula gaveta 3,1.0,24/04/2026 17:53,D_002_2026
Mangueira conduto agua,1.0,24/04/2026 17:53,D_002_2026
Abracadeiras,1.0,24/04/2026 17:53,D_002_2026
Curva longa PVC 4,1.0,24/04/2026 17:53,D_002_2026
Valvula esfera 2,1.0,24/04/2026 17:53,D_002_2026
